id,name,full_name,region,zone,search_text
2596d202-b97a-47d5-aa44-ae12ec7f8d69,አመያ,"አመያ, ሰሜን ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ሰሜን ኦሞ,አመያ ሰሜን ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
263932f2-5367-42e9-95cc-580893ca57ab,ባቁሌ,"ባቁሌ, ሰሜን ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ሰሜን ኦሞ,ባቁሌ ሰሜን ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
274ad8d8-dd92-4c5a-8b95-90f6412b94d2,ነፋስ መውጫ,"ነፋስ መውጫ, ደቡብ ጎንደር, አማራ",አማራ,ደቡብ ጎንደር,ነፋስ መውጫ ደቡብ ጎንደር አማራ
29b5b940-ed03-4c50-a330-c3ed652b94bd,ዱዱብ,"ዱዱብ, ዋርዴር, ሶማሊ",ሶማሊ,ዋርዴር,ዱዱብ ዋርዴር ሶማሊ
2b498f3b-6e7b-4aaa-a89c-e4e621a9543b,ሰሪቲ,"ሰሪቲ, ጋምቤላ ዞን 1, ጋምቤላ",ጋምቤላ,ጋምቤላ ዞን 1,ሰሪቲ ጋምቤላ ዞን 1 ጋምቤላ
2c02317c-4f49-4525-8312-cea563bd9657,ፈርፈር,"ፈርፈር, አፍዴር, ሶማሊ",ሶማሊ,አፍዴር,ፈርፈር አፍዴር ሶማሊ
2dcdd0c6-2519-41aa-b8db-4e3f60c3254a,ቦፓ,"ቦፓ, ደቡብ ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ደቡብ ኦሞ,ቦፓ ደቡብ ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
2e716bee-fa12-4bdb-b640-b711201084d4,አዲ ሳቃ,"አዲ ሳቃ, ምዕራባዊ, ትግራይ",ትግራይ,ምዕራባዊ,አዲ ሳቃ ምዕራባዊ ትግራይ
2efd3850-9b5d-4834-b649-9fba811e084c,ዊሻዬ,"ዊሻዬ, ሰሜን ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ሰሜን ኦሞ,ዊሻዬ ሰሜን ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
2fc78665-21b0-43fc-b4af-96f867b137b0,ጨሌ,"ጨሌ, ቤንች ማጂ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ቤንች ማጂ,ጨሌ ቤንች ማጂ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
30a15468-38cd-4b41-b3e2-22eda40ed351,ጋርዶር,"ጋርዶር, ደገሃቡር, ሶማሊ",ሶማሊ,ደገሃቡር,ጋርዶር ደገሃቡር ሶማሊ
31790427-1cd7-4a34-9524-113b046a72e1,አይከል,"አይከል, ሰሜን ጎንደር, አማራ",አማራ,ሰሜን ጎንደር,አይከል ሰሜን ጎንደር አማራ
322dc950-70f2-4347-b562-2ac5515009fa,መልካ ባፈታ,"መልካ ባፈታ, ጎዴ, ሶማሊ",ሶማሊ,ጎዴ,መልካ ባፈታ ጎዴ ሶማሊ
325edda7-572d-4d4e-b63f-e13d4a196b53,አሳሳ,"አሳሳ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,አሳሳ አርሲ ኦሮሚያ
3279fb8a-3ad3-4b3b-8935-ff8d9c9202bc,ፍኖተ ሰላም,"ፍኖተ ሰላም, ምዕራብ ጎጃም, አማራ",አማራ,ምዕራብ ጎጃም,ፍኖተ ሰላም ምዕራብ ጎጃም አማራ
33e4c136-e33b-4d79-be44-7f96e8685f47,ወይጦ,"ወይጦ, ደቡብ ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ደቡብ ኦሞ,ወይጦ ደቡብ ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
34492a5c-4a6e-469d-829c-79222bc692cc,ሳምሬ,"ሳምሬ, ደቡባዊ, ትግራይ",ትግራይ,ደቡባዊ,ሳምሬ ደቡባዊ ትግራይ
34c3ad09-12aa-4a49-aa40-afbd828d4704,ኮሎሎ,"ኮሎሎ, ባሌ, ኦሮሚያ",ኦሮሚያ,ባሌ,ኮሎሎ ባሌ ኦሮሚያ
34dc974b-1e91-4b9c-b988-f4f71c23319f,ቃሪ,"ቃሪ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,ቃሪ አርሲ ኦሮሚያ
356cb56e-4ec4-4137-9d41-54d9f68ea7c1,ቦዶሎ,"ቦዶሎ, ሰሜን ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ሰሜን ኦሞ,ቦዶሎ ሰሜን ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
358ad905-cadf-49f1-9d91-a36a5881e0d7,ሲቶና,"ሲቶና, ምዕራባዊ, ትግራይ",ትግራይ,ምዕራባዊ,ሲቶና ምዕራባዊ ትግራይ
3634767a-6d04-452a-ad15-699ec88dae34,ማይ ቅነጣል,"ማይ ቅነጣል, ማዕከላዊ, ትግራይ",ትግራይ,ማዕከላዊ,ማይ ቅነጣል ማዕከላዊ ትግራይ
36592915-3fa7-4977-9aa7-6d9ffbe36dd4,ደብረ ማይ,"ደብረ ማይ, ምዕራብ ጎጃም, አማራ",አማራ,ምዕራብ ጎጃም,ደብረ ማይ ምዕራብ ጎጃም አማራ
36a1e645-c533-45a1-b786-bca642dc2235,ደሀን,"ደሀን, ፊቅ, ሶማሊ",ሶማሊ,ፊቅ,ደሀን ፊቅ ሶማሊ
371b8485-720e-4e7a-8fee-074cbda8df4f,ሸዋ ጊሚራ,"ሸዋ ጊሚራ, ከፊቾ ሸኪቾ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ከፊቾ ሸኪቾ,ሸዋ ጊሚራ ከፊቾ ሸኪቾ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
39bb347b-d55c-4c34-9900-3bd253664667,እዲዶሌ,"እዲዶሌ, ጎዴ, ሶማሊ",ሶማሊ,ጎዴ,እዲዶሌ ጎዴ ሶማሊ
3a3a8266-0783-405e-98fb-0b140e11a6e3,መተማ,"መተማ, ሰሜን ጎንደር, አማራ",አማራ,ሰሜን ጎንደር,መተማ ሰሜን ጎንደር አማራ
3b355309-ee7d-45bb-a7f0-0eb7fd556843,ብልባሆ,"ብልባሆ, ደቡብ ጎንደር, አማራ",አማራ,ደቡብ ጎንደር,ብልባሆ ደቡብ ጎንደር አማራ
3b701dd0-7fce-434a-8e1e-d2c2118bcf50,ኤል ፉድ,"ኤል ፉድ, ደገሃቡር, ሶማሊ",ሶማሊ,ደገሃቡር,ኤል ፉድ ደገሃቡር ሶማሊ
3b9fcac0-84af-42de-9e6e-ccef384cdfca,በቆጂ,"በቆጂ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,በቆጂ አርሲ ኦሮሚያ
3beba845-7b84-4f20-a1ef-15ab44fd9053,ሼክ ሁሴን,"ሼክ ሁሴን, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,ሼክ ሁሴን አርሲ ኦሮሚያ
3bf7dee8-0f3e-4d84-9168-f1b28ca6c556,ሱልሱል,"ሱልሱል, አፍዴር, ሶማሊ",ሶማሊ,አፍዴር,ሱልሱል አፍዴር ሶማሊ
3c07689e-9635-4975-bb07-9660f23cee9e,አብደራፊ,"አብደራፊ, ሰሜን ጎንደር, አማራ",አማራ,ሰሜን ጎንደር,አብደራፊ ሰሜን ጎንደር አማራ
3cc64efd-86cb-4bef-85bd-e5927fb7739e,ጊያዳበሌ,"ጊያዳበሌ, ኮራሄ, ሶማሊ",ሶማሊ,ኮራሄ,ጊያዳበሌ ኮራሄ ሶማሊ
3dd33cb3-4fca-4a4f-87db-59331bd2f5bc,ቡልቺ,"ቡልቺ, ደቡብ ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ደቡብ ኦሞ,ቡልቺ ደቡብ ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
3e2eb094-f307-4d36-9fbf-2f342e0a6bae,ባኮ,"ባኮ, ደቡብ ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ደቡብ ኦሞ,ባኮ ደቡብ ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
3ef1ce4b-3c4a-4dfe-8888-7f4155707db1,ዋኛ,"ዋኛ, ሰሜን ጎንደር, አማራ",አማራ,ሰሜን ጎንደር,ዋኛ ሰሜን ጎንደር አማራ
40a9b715-b988-4ff7-9ba1-1a832f17f680,ገሲ,"ገሲ, ጋምቤላ ዞን 2, ጋምቤላ",ጋምቤላ,ጋምቤላ ዞን 2,ገሲ ጋምቤላ ዞን 2 ጋምቤላ
429d5c3c-d1e4-4520-a5a5-eb5fce2390f3,ኮፈሌ,"ኮፈሌ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,ኮፈሌ አርሲ ኦሮሚያ
436a06ec-29f1-437e-a1dd-51c2823095f7,ጎሮ,"ጎሮ, ባሌ, ኦሮሚያ",ኦሮሚያ,ባሌ,ጎሮ ባሌ ኦሮሚያ
44a05903-467f-4117-bf1d-25f4f4fdc568,ኡሩኩር,"ኡሩኩር, አፋር ዞን 2, አፋር",አፋር,አፋር ዞን 2,ኡሩኩር አፋር ዞን 2 አፋር
44f49d98-1ddd-4b55-825e-14351971aade,ኦቦርሶ,"ኦቦርሶ, ባሌ, ኦሮሚያ",ኦሮሚያ,ባሌ,ኦቦርሶ ባሌ ኦሮሚያ
44fb2ef5-3628-4a09-90e3-0c3d0ec681b1,ጎሎልቻ,"ጎሎልቻ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,ጎሎልቻ አርሲ ኦሮሚያ
457c15d4-dbe1-4b71-9787-5b6b4ff2746c,ጎራ,"ጎራ, ደቡብ ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ደቡብ ኦሞ,ጎራ ደቡብ ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
467c5dd5-95a7-4eb7-ad48-f77209bca249,ኤሊዳአር,"ኤሊዳአር, አፋር ዞን 1, አፋር",አፋር,አፋር ዞን 1,ኤሊዳአር አፋር ዞን 1 አፋር
47d2ac7a-9ff7-4bce-b542-251e73839c18,ፈረጎሳ,"ፈረጎሳ, ሰሜን ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ሰሜን ኦሞ,ፈረጎሳ ሰሜን ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
4804c551-2a3e-4dab-b81d-2c57618e2bcf,ቢልቢሎ,"ቢልቢሎ, አርሲ, ኦሮሚያ",ኦሮሚያ,አርሲ,ቢልቢሎ አርሲ ኦሮሚያ
482eaf1c-1d8a-461a-aa87-7483de078838,ዲበር ዊን,"ዲበር ዊን, ደገሃቡር, ሶማሊ",ሶማሊ,ደገሃቡር,ዲበር ዊን ደገሃቡር ሶማሊ
4893de99-585c-4bb4-9e80-129dca7549fc,ጉልታ,"ጉልታ, ሰሜን ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ሰሜን ኦሞ,ጉልታ ሰሜን ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
4905cbca-d7ab-4f49-aeb3-7d809ff90f78,ገቻ,"ገቻ, ከፊቾ ሸኪቾ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ከፊቾ ሸኪቾ,ገቻ ከፊቾ ሸኪቾ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
49ce0cc5-5774-40e6-9477-7b768985186f,ጋዋኒ,"ጋዋኒ, አፋር ዞን 3, አፋር",አፋር,አፋር ዞን 3,ጋዋኒ አፋር ዞን 3 አፋር
49e493f9-9989-4dfd-b676-96afce786815,ቢርኮት,"ቢርኮት, ደገሃቡር, ሶማሊ",ሶማሊ,ደገሃቡር,ቢርኮት ደገሃቡር ሶማሊ
4a98e4d3-5e1e-46bd-bba1-403ef2b105f7,ቃሊ,"ቃሊ, ምዕራባዊ, ትግራይ",ትግራይ,ምዕራባዊ,ቃሊ ምዕራባዊ ትግራይ
4a9efdfa-819d-4654-8158-d2e353657ae4,ጎባ,"ጎባ, ባሌ, ኦሮሚያ",ኦሮሚያ,ባሌ,ጎባ ባሌ ኦሮሚያ
4b72a911-26e9-416c-ba8c-ef88253276db,ጎልጄ ጊዮርጊስ ቤተ ክርስቲያን,"ጎልጄ ጊዮርጊስ ቤተ ክርስቲያን, ሰሜን ሸዋ, ኦሮሚያ",ኦሮሚያ,ሰሜን ሸዋ,ጎልጄ ጊዮርጊስ ቤተ ክርስቲያን ሰሜን ሸዋ ኦሮሚያ
4bc259ea-b7bd-4b21-92e8-114537b78762,ማይ ባርያ,"ማይ ባርያ, ምዕራባዊ, ትግራይ",ትግራይ,ምዕራባዊ,ማይ ባርያ ምዕራባዊ ትግራይ
4c15d0a7-1c3c-4c6d-afe6-e096455089c3,አዲግራት,"አዲግራት, ምስራቃዊ, ትግራይ",ትግራይ,ምስራቃዊ,አዲግራት ምስራቃዊ ትግራይ
4c6a88e3-c661-418b-b463-b49702b26da3,አክሱም,"አክሱም, ማዕከላዊ, ትግራይ",ትግራይ,ማዕከላዊ,አክሱም ማዕከላዊ ትግራይ
4cb43fb6-e57e-45bd-817e-38c17b748b88,እንጅባራ,"እንጅባራ, አገው አዊ, አማራ",አማራ,አገው አዊ,እንጅባራ አገው አዊ አማራ
4dfb9752-8b80-4f75-8b19-33796a21ca98,ባሌህ አድ,"ባሌህ አድ, ዋርዴር, ሶማሊ",ሶማሊ,ዋርዴር,ባሌህ አድ ዋርዴር ሶማሊ
4ec3255d-7df6-4042-934f-dcbf0a417a7a,አዲስ አበባ,"አዲስ አበባ, አዲስ አበባ ዞን 1",አዲስ አበባ,አዲስ አበባ ዞን 1,አዲስ አበባ አዲስ አበባ ዞን 1 አዲስ አበባ
4fd2b10d-e7e5-417d-bf12-af3966bd6369,ሱሉልታ,"ሱሉልታ, ሰሜን ሸዋ, ኦሮሚያ",ኦሮሚያ,ሰሜን ሸዋ,ሱሉልታ ሰሜን ሸዋ ኦሮሚያ
50049015-cf4d-45ad-b5e4-4b6d6b3788ba,ገለበዳ,"ገለበዳ, ማዕከላዊ, ትግራይ",ትግራይ,ማዕከላዊ,ገለበዳ ማዕከላዊ ትግራይ
51153d41-257b-4348-a335-9f3598b98f92,ድሬ ዳዋ,ድሬ ዳዋ,ድሬ ዳዋ,ድሬ ዳዋ,ድሬ ዳዋ ድሬ ዳዋ ድሬ ዳዋ
5119402f-6e46-4c16-b8e8-d973e8ae6bff,ደርማዱ,"ደርማዱ, አፋር ዞን 1, አፋር",አፋር,አፋር ዞን 1,ደርማዱ አፋር ዞን 1 አፋር
514c1b19-b406-4a01-a37d-8f70cc536110,ጭዳ,"ጭዳ, ሰሜን ኦሞ, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል",ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,ሰሜን ኦሞ,ጭዳ ሰሜን ኦሞ ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል
51666ad3-8725-45c0-8560-6002e659dc34,ቡምባዲ,"ቡምባዲ, መተከል, ቤኒሻንጉል ጉሙዝ",ቤኒሻንጉል ጉሙዝ,መተከል,ቡምባዲ መተከል ቤኒሻንጉል ጉሙዝ
51cc0275-7ee5-40df-bc33-e66fad969d98,ይርጋ,"ይርጋ, ምዕራባዊ, ትግራይ",ትግራይ,ምዕራባዊ,ይርጋ ምዕራባዊ ትግራይ
525e89aa-a54b-4804-8a28-67fcdb703668,ሸኖ,"ሸኖ, ሰሜን ሸዋ, ኦሮሚያ",ኦሮሚያ,ሰሜን ሸዋ,ሸኖ ሰሜን ሸዋ ኦሮሚያ
526f2a7a-4f5b-4b62-bc5d-2d3aa1c851fe,ጎንደር,"ጎንደር, ሰሜን ጎንደር, አማራ",አማራ,ሰሜን ጎንደር,ጎንደር ሰሜን ጎንደር አማራ
52e2dd45-1305-42a6-afb6-11e85a33a15f,መቀሌ,"መቀሌ, ደቡባዊ, ትግራይ",ትግራይ,ደቡባዊ,መቀሌ ደቡባዊ ትግራይ
